statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Florida,6,United Kingdom,1173.81,1425.42,1491.84,2103.38,2.1776,2.7395,2.7167,3.6746,40.99
Florida,7,China,1114.46,1205.57,1864.92,2073.82,2.0675,2.317,3.3961,3.623,11.2
Florida,8,Chile,1680.51,1872.69,1815.53,1927.58,3.1176,3.5991,3.3061,3.3675,6.17
Florida,9,Paraguay,1094.52,1508.71,2114.12,1781.21,2.0305,2.8996,3.8499,3.1118,-15.75
Florida,10,Dominican Republic,1702.66,1708,1551.63,1673.94,3.1587,3.2826,2.8256,2.9244,7.88
Florida,11,Peru,1699.23,1498.86,1441.04,1496.91,3.1524,2.8807,2.6242,2.6151,3.88
Florida,12,Argentina,1465.67,1424.73,1670.21,1361.28,2.7191,2.7382,3.0415,2.3782,-18.5
Florida,13,Costa Rica,1251.11,1264.86,1226.64,1179.41,2.321,2.4309,2.2337,2.0604,-3.85
Florida,14,Panama,1292.74,1306.6,1199.6,1152.13,2.3983,2.5112,2.1845,2.0128,-3.96
Florida,15,Netherlands,852.31,962.67,1183.76,1138.94,1.5812,1.8502,2.1556,1.9897,-3.79
