"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"3357","Israel",2020-12-15,48,360630,12345,3014,82,41662.4,1426.2,348.2,9.5,39,37
"3432","Italy",2020-12-15,48,1870576,113182,65857,4617,30938,1872,1089.2,76.4,42,42
"3477","Jamaica",2020-12-15,48,11875,604,276,11,4010.5,204,93.2,3.7,34,27
"3505","Japan",2020-12-15,48,184752,18160,2581,247,1460.8,143.6,20.4,2,42,40
"3538","Jordan",2020-12-15,48,265024,17893,3437,275,25975.1,1753.7,336.9,27,38,23
"3605","Kazakhstan",2020-12-15,48,187890,6169,2613,69,10006.4,328.5,139.2,3.7,37,35
"3629","Kenya",2020-12-15,48,92459,3359,1604,59,1719.5,62.5,29.8,1.1,36,34
"3669","Kosovo",2020-12-15,48,47203,3322,1220,83,26223.9,1845.6,677.8,46.1,37,34
"3722","Kuwait",2020-12-15,48,146710,1810,913,13,34350.3,423.8,213.8,3,39,34
"3761","Kyrgyzstan",2020-12-15,48,78151,2461,1317,16,11979,377.2,201.9,2.5,37,32
"3808","Lao People's Democratic Republic",2020-12-15,48,41,0,0,0,5.6,0,0,0,0,0
"3834","Latvia",2020-12-15,48,26472,4368,357,69,14036.1,2316,189.3,36.6,38,33
"3890","Lebanon",2020-12-15,48,148877,9742,1223,87,21813.5,1427.4,179.2,12.7,39,37
"3913","Lesotho",2020-12-15,48,2307,157,44,0,1077,73.3,20.5,0,22,20
"3938","Liberia",2020-12-15,48,1676,0,83,0,331.4,0,16.4,0,34,33
"3979","Libya",2020-12-15,48,92017,4031,1319,64,13392.1,586.7,192,9.3,28,26
"4014","Liechtenstein",2020-12-15,48,1579,175,21,2,41552.6,4605.3,552.6,52.6,16,3
"4079","Lithuania",2020-12-15,48,96452,19026,863,190,35434.2,6989.7,317,69.8,38,36
"4131","Luxembourg",2020-12-15,48,42250,3774,418,58,67492,6028.8,667.7,92.7,39,37
"4175","Macao",2020-12-15,48,46,0,0,0,70.9,0,0,0,0,0
"4183","Madagascar",2020-12-15,48,17587,114,259,4,635.1,4.1,9.4,0.1,35,26
"4265","Mainland China",2020-12-15,48,86770,109,4634,0,60.3,0.1,3.2,0,47,47
"4274","Malawi",2020-12-15,48,6080,29,187,1,317.8,1.5,9.8,0.1,29,25
"4306","Malaysia",2020-12-15,48,86618,11312,422,34,2676.2,349.5,13,1.1,40,38
"4370","Maldives",2020-12-15,48,13392,144,48,1,24754.2,266.2,88.7,1.8,33,23
"4403","Mali",2020-12-15,48,5878,436,205,25,290.3,21.5,10.1,1.2,35,35
"4438","Malta",2020-12-15,48,11303,604,177,20,25572.4,1366.5,400.5,45.2,38,16
"4476","Marshall Islands",2020-12-15,48,4,0,0,0,67.8,0,0,0,0,0
"4505","Mauritania",2020-12-15,48,11431,1555,236,39,2458.3,334.4,50.8,8.4,30,29
"4522","Mauritius",2020-12-15,48,524,9,10,0,411.9,7.1,7.9,0,37,33
"4584","Mexico",2020-12-15,48,1267202,73947,115099,4225,9828.4,573.5,892.7,32.8,38,37
"4639","Moldova, Republic of",2020-12-15,48,128656,9452,2625,165,31892.9,2343.1,650.7,40.9,38,36
"4669","Monaco",2020-12-15,48,678,30,3,0,17384.6,769.2,76.9,0,25,0
"4701","Mongolia",2020-12-15,48,918,25,0,0,280,7.6,0,0,30,0
"4756","Montenegro",2020-12-15,48,42148,2995,597,48,67114.6,4769.1,950.6,76.4,37,24
"4791","Morocco",2020-12-15,48,403619,19531,6711,341,10934.9,529.1,181.8,9.2,38,37
